,date,sampling,expiry
0,20230200,False,20230201
1,20230300,False,20230301
2,20230400,False,20230401
3,20230500,False,20230501
4,20230600,False,20230522
5,20230700,True,20230620
6,20230800,True,20230720
7,20230900,True,20230822
8,20231000,True,20230920
9,20231100,True,20231020
10,20231200,True,20231120
11,20240100,True,20231219
12,20240200,True,20240122
13,20240300,True,20240220
14,20240400,True,20240320
15,20240500,True,20240422
16,20240600,True,20240521
17,20240700,True,20240620
18,20240800,True,20240722
19,20240900,True,20240820
20,20241000,True,20240920
21,20241100,True,20241022
22,20241200,True,20241120
23,20250100,True,20241219
24,20250200,False,20250121
25,20250300,False,20250220
26,20250400,False,20250320
27,20250500,False,20250422
28,20250600,False,20250520
29,20250700,False,20250620
30,20250800,False,20250722
31,20250900,False,20250820
32,20251000,False,20250922
33,20251100,False,20251021
34,20251200,False,20251120
35,20260100,False,20251219
